Jinx,4,"12,643",,"7/10/17, 4:25 PM",,"8,957"
Bel'Veth,3,"12,510",,"7/21/23, 10:48 PM",,90
Kha'Zix,3,"12,356",,"12/9/17, 1:00 AM",,244
Kog'Maw,3,"11,429",,"3/5/16, 4:11 PM",,"1,171"
Darius,3,"11,149",,"4/9/23, 5:50 PM",,"1,451"
Twitch,3,"10,547",,"10/9/17, 9:19 PM",,"2,053"
Malzahar,3,"10,522",,"8/31/18, 9:20 PM",,"2,078"
Dr. Mundo,3,"6,809",,"5/3/23, 12:27 AM",,"5,791"
Tristana,2,"5,780",,"8/2/18, 3:44 PM",,220
Alistar,2,"5,776",,"4/7/23, 8:57 PM",,224
Ryze,2,"5,278",,"2/27/17, 1:18 AM",,722
Xerath,2,"5,078",,"5/4/18, 1:20 AM",,922
Kennen,2,"4,898",,"7/7/17, 8:54 PM",,"1,102"
Viktor,2,"3,856",,"11/6/17, 6:25 PM",,"2,144"
Pyke,2,"3,847",,"3/31/23, 6:00 PM",,"2,153"
Kalista,2,"3,501",,"2/13/16, 12:17 AM",,"2,499"
Yone,2,"3,492",,"6/17/23, 11:58 PM",,"2,508"
Yasuo,2,"3,405",,"7/6/18, 8:58 PM",,"2,595"
Vayne,2,"3,287",,"12/26/16, 8:43 PM",,"2,713"
Veigar,2,"3,092",,"3/17/23, 9:39 PM",,"2,908"
Swain,2,"2,857",,"5/16/18, 4:24 PM",,"3,143"
Mordekaiser,2,"2,592",,"3/11/23, 7:41 PM",,"3,408"
Pantheon,2,"2,080",,"8/9/17, 3:05 PM",,"3,920"
Caitlyn,2,"1,931",,"7/22/17, 3:43 AM",,"4,069"
Thresh,2,"1,918",,"3/31/23, 4:23 PM",,"4,082"
Katarina,2,"1,907",,"7/6/18, 8:31 PM",,"4,093"
Graves,2,"1,907",,"12/1/17, 12:54 AM",,"4,093"
Fizz,2,"1,852",,"10/15/19, 5:37 PM",,"4,148"
Vi,1,"1,675",,"12/15/16, 5:19 PM",,125
Zed,1,"1,648",,"1/31/18, 3:09 PM",,152
Aatrox,1,"1,644",,"8/3/18, 6:56 PM",,156
Jayce,1,"1,604",,"10/25/17, 9:05 PM",,196
Talon,1,"1,604",,"1/30/17, 11:22 PM",,196
Nocturne,1,"1,556",,"11/8/16, 7:16 PM",,244
Xayah,1,"1,443",,"9/4/17, 4:04 AM",,357
Lee Sin,1,"1,382",,"7/6/17, 3:48 PM",,418
Orianna,1,"1,353",,"7/21/17, 8:29 PM",,447
Vex,1,"1,264",,"12/3/22, 5:06 PM",,536
Zac,1,"1,260",,"5/21/17, 3:39 PM",,540
Poppy,1,"1,155",,"3/9/16, 7:40 PM",,645
Vel'Koz,1,"1,046",,"8/11/17, 2:31 AM",,754
Malphite,1,989,,"3/4/23, 11:33 PM",,811
Sivir,1,926,,"1/11/18, 10:55 PM",,874
Rammus,1,900,,"10/18/17, 9:34 PM",,900
Maokai,1,858,,"12/1/16, 12:13 PM",,942
Garen,1,780,,"3/3/23, 7:12 PM",,"1,020"
Zilean,1,766,,"11/6/18, 9:28 PM",,"1,034"
Volibear,1,764,,"1/18/17, 8:15 PM",,"1,036"
Syndra,1,732,,"7/13/17, 10:20 PM",,"1,068"
Aurelion Sol,1,707,,"7/16/17, 12:42 AM",,"1,093"
Jarvan IV,1,678,,"11/30/17, 10:59 PM",,"1,122"
Kayn,1,668,,"1/11/18, 9:20 PM",,"1,132"
Rumble,1,662,,"8/16/18, 4:23 PM",,"1,138"
Urgot,1,652,,"3/15/19, 8:48 PM",,"1,148"
Irelia,1,422,,"9/9/15, 4:54 PM",,"1,378"
Camille,1,413,,"8/31/18, 8:47 PM",,"1,387"
Olaf,1,357,,"1/25/17, 10:04 PM",,"1,443"
Gangplank,1,337,,"10/23/16, 10:47 PM",,"1,463"
Kassadin,1,311,,"11/17/17, 6:57 PM",,"1,489"
Sion,1,260,,"6/14/17, 11:14 PM",,"1,540"
Shen,1,222,,"9/17/16, 2:29 PM",,"1,578"
Kayle,1,215,,"1/22/17, 11:22 PM",,"1,585"
Ornn,1,201,,"3/13/23, 6:38 PM",,"1,599"
Cassiopeia,1,200,,"11/10/16, 4:09 PM",,"1,600"
Anivia,1,183,,"12/19/17, 5:42 PM",,"1,617"
Rek'Sai,1,176,,"1/27/17, 4:28 PM",,"1,624"
Hecarim,1,165,,"5/20/17, 3:54 PM",,"1,635"
Renekton,1,165,,"4/30/17, 7:45 PM",,"1,635"
Cho'Gath,1,163,,"1/22/17, 1:37 PM",,"1,637"
